['TASK_GLOBAL_GOTO.py', '38.539808', '-121.759343', '-0.0', '38.5397129', '-121.759369', '11.132']
Home Setpoint
Latitude: 38.5397129, Longitude: -121.759369, Altitude: 11.132
Target Setpoint
Latitude: 38.539808, Longitude: -121.759343, Altitude: -0.0
Setpoint Local Coordinate: x:2.266803, y:10.556739, z:-0.000000
Setpoint: x: 2.266803, y: 10.556739, z: -0.000000
Current: x: -1.513183, y: 9.080126, z: 0.175006
Setpoint: x: 2.266803, y: 10.556739, z: -0.000000
Current: x: -1.517064, y: 9.091829, z: 0.169294
Setpoint: x: 2.266803, y: 10.556739, z: -0.000000
Current: x: -1.521628, y: 9.104438, z: 0.169395
Setpoint: x: 2.266803, y: 10.556739, z: -0.000000
Current: x: -1.524330, y: 9.112452, z: 0.169779
Setpoint: x: 2.266803, y: 10.556739, z: -0.000000
Current: x: -1.529080, y: 9.124368, z: 0.172166
Setpoint: x: 2.266803, y: 10.556739, z: -0.000000
Current: x: -1.532459, y: 9.137582, z: 0.171760
Setpoint: x: 2.266803, y: 10.556739, z: -0.000000
Current: x: -1.535506, y: 9.150394, z: 0.168780
Setpoint: x: 2.266803, y: 10.556739, z: -0.000000
Current: x: -1.539137, y: 9.165724, z: 0.167822
Setpoint: x: 2.266803, y: 10.556739, z: -0.000000
Current: x: -1.541115, y: 9.182758, z: 0.167672
Setpoint: x: 2.266803, y: 10.556739, z: -0.000000
Current: x: -1.541787, y: 9.203685, z: 0.167710
Setpoint: x: 2.266803, y: 10.556739, z: -0.000000
Current: x: -1.540829, y: 9.220349, z: 0.169876
Setpoint: x: 2.266803, y: 10.556739, z: -0.000000
Current: x: -1.538871, y: 9.244146, z: 0.172446
Setpoint: x: 2.266803, y: 10.556739, z: -0.000000
Current: x: -1.537523, y: 9.269466, z: 0.173890
Setpoint: x: 2.266803, y: 10.556739, z: -0.000000
Current: x: -1.537118, y: 9.298783, z: 0.170947
Setpoint: x: 2.266803, y: 10.556739, z: -0.000000
Current: x: -1.537036, y: 9.327675, z: 0.170852
Setpoint: x: 2.266803, y: 10.556739, z: -0.000000
Current: x: -1.538067, y: 9.357921, z: 0.174253
Setpoint: x: 2.266803, y: 10.556739, z: -0.000000
Current: x: -1.537935, y: 9.389277, z: 0.174783
Setpoint: x: 2.266803, y: 10.556739, z: -0.000000
Current: x: -1.537442, y: 9.419832, z: 0.176741
Setpoint: x: 2.266803, y: 10.556739, z: -0.000000
Current: x: -1.537851, y: 9.441533, z: 0.178081
Setpoint: x: 2.266803, y: 10.556739, z: -0.000000
Current: x: -1.538303, y: 9.477484, z: 0.174496
Setpoint: x: 2.266803, y: 10.556739, z: -0.000000
Current: x: -1.537088, y: 9.514165, z: 0.176938
Setpoint: x: 2.266803, y: 10.556739, z: -0.000000
Current: x: -1.535579, y: 9.549850, z: 0.175426
Setpoint: x: 2.266803, y: 10.556739, z: -0.000000
Current: x: -1.533605, y: 9.589655, z: 0.174189
Setpoint: x: 2.266803, y: 10.556739, z: -0.000000
Current: x: -1.530215, y: 9.633918, z: 0.170553
Setpoint: x: 2.266803, y: 10.556739, z: -0.000000
Current: x: -1.528084, y: 9.673162, z: 0.173450
Setpoint: x: 2.266803, y: 10.556739, z: -0.000000
Current: x: -1.528188, y: 9.697764, z: 0.174949
Setpoint: x: 2.266803, y: 10.556739, z: -0.000000
Current: x: -1.527875, y: 9.733968, z: 0.179506
Setpoint: x: 2.266803, y: 10.556739, z: -0.000000
Current: x: -1.527569, y: 9.773865, z: 0.178114
Setpoint: x: 2.266803, y: 10.556739, z: -0.000000
Current: x: -1.527688, y: 9.811272, z: 0.177538
Setpoint: x: 2.266803, y: 10.556739, z: -0.000000
Current: x: -1.530625, y: 9.845412, z: 0.179461
Setpoint: x: 2.266803, y: 10.556739, z: -0.000000
Current: x: -1.536416, y: 9.880712, z: 0.179887
Setpoint: x: 2.266803, y: 10.556739, z: -0.000000
Current: x: -1.542254, y: 9.913418, z: 0.181936
Setpoint: x: 2.266803, y: 10.556739, z: -0.000000
Current: x: -1.545479, y: 9.945306, z: 0.186391
Setpoint: x: 2.266803, y: 10.556739, z: -0.000000
Current: x: -1.545268, y: 9.977543, z: 0.183083
Setpoint: x: 2.266803, y: 10.556739, z: -0.000000
Current: x: -1.544912, y: 10.012648, z: 0.185405
Setpoint: x: 2.266803, y: 10.556739, z: -0.000000
Current: x: -1.542315, y: 10.049954, z: 0.184917
Setpoint: x: 2.266803, y: 10.556739, z: -0.000000
Current: x: -1.536869, y: 10.084079, z: 0.187719
Setpoint: x: 2.266803, y: 10.556739, z: -0.000000
Current: x: -1.533202, y: 10.105700, z: 0.190006
Setpoint: x: 2.266803, y: 10.556739, z: -0.000000
Current: x: -1.531174, y: 10.140083, z: 0.192869
Setpoint: x: 2.266803, y: 10.556739, z: -0.000000
Current: x: -1.528506, y: 10.173102, z: 0.197596
Setpoint: x: 2.266803, y: 10.556739, z: -0.000000
Current: x: -1.523697, y: 10.202395, z: 0.201904
Setpoint: x: 2.266803, y: 10.556739, z: -0.000000
Current: x: -1.519239, y: 10.232224, z: 0.199309
Setpoint: x: 2.266803, y: 10.556739, z: -0.000000
Current: x: -1.515390, y: 10.266073, z: 0.198197
Setpoint: x: 2.266803, y: 10.556739, z: -0.000000
